niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
password-managers,bitwarden,premium,2026-08_r1,https://bitwarden.com/pricing/,2026-08-01T08:54:49.974Z,200,css_selector,text-proximity,$19.80 | per month Billed annually at $19.80 Create Premium Account Enjoy premium features  Integrated authenticator  File att,USD,month,5bea3848c2d2b4ae,http://web.archive.org/web/20260731132741/https://bitwarden.com/pricing/,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,19.8,,,,unknown,observed_new,,mediaan van 3/3 runs
password-managers,nordpass,premium,2026-08_r1,https://nordpass.com/plans/,2026-08-01T08:54:53.361Z,200,css_selector+render,text-proximity,€23.88 | ve 33% € 1 . 99 /month €35.88 €23.88 for the first 12 months 1 user account Purchase Now 30-day money-back guarantee Fea,EUR,month,9c1e5fa2a5e6583f,http://web.archive.org/web/20260624000040/https://nordpass.com/plans/,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,27.43,,,,unknown,under_review,out_of_band,gevlagd: out_of_band
password-managers,proton-pass,pass-plus,2026-08_r1,https://proton.me/pass/pricing,2026-08-01T08:55:05.102Z,200,css_selector+render,text-proximity,"€2.99 | ended 40% off Pass Plus €4.99 €2.99 /month Get Pass Plus Get everything in Free, plus: Unlimited hide-my-email aliases B",EUR,month,efc0c355a44389bc,,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,3.43,,,,unknown,observed_new,,mediaan van 3/3 runs
password-managers,enpass,premium-12-months,2026-08_r1,https://www.enpass.io/pricing/,2026-08-01T08:58:03.122Z,403,manual,,,,unknown,606a03596ccbcc5f,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 923 bytes)"
password-managers,roboform,premium,2026-08_r1,https://www.roboform.com/pricing-personal,2026-08-01T08:55:17.200Z,200,css_selector,text-proximity,"$2.49 | m features, unlimited devices $2.49 __RoboFormEverywherePrice_MO_SALE__ /mo Billed annually New users: __RoboFormEverywh",USD,month,e5df729673e6d66f,http://web.archive.org/web/20260712100614/https://www.roboform.com/pricing-personal,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,2.49,,,29.88,unknown,observed_new,,mediaan van 3/3 runs
password-managers,keeper,personal,2026-08_r1,https://www.keepersecurity.com/pricing/personal-and-family.html,2026-08-01T08:55:21.614Z,200,json_ld+render,offers.price,USD 4.34 (JSON-LD),USD,year,e230c02d2f240d5e,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,0.36,4.34,css_selector,,unknown,under_review,extractor_disagreement,gevlagd: extractor_disagreement
password-managers,lastpass,lppremium,2026-08_r1,https://www.lastpass.com/pricing,2026-08-01T08:55:29.714Z,200,css_selector+render,text-proximity,€8 | iness with more admin control €8 .50 user/month billed annually* Try free for 14 days Subscribe now Everything in Busine,EUR,month,ac5b994f9af2758f,,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,9.19,,,,unknown,observed_new,,mediaan van 3/3 runs
password-managers,1password,individual,2026-08_r1,https://1password.com/pricing/password-manager,2026-08-01T08:56:06.506Z,200,css_selector,text-proximity,$2.99 | trol of your online security. $2.99 USD $3.99 USD Per month. Paid annually.* Try FREE for 14 days Generate passwords sec,USD,month,ee35a92d180566e0,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-01,2.99,,,,unknown,observed_new,,mediaan van 3/3 runs
password-managers,dashlane,premium,2026-08_r1,https://www.dashlane.com/pricing-personal,2026-08-01T08:56:10.135Z,200,css_selector+render,text-proximity,€3.96 | m Proactive password security €3.96 + VAT Per month Billed annually Buy now Try free for 14 days NEW! Stop scams in real,EUR,month,5fee785988a21784,,prijsmeter-1.0.0/v1-2026-07,1.1485,2026-07-31,4.55,,,,true,observed_new,,mediaan van 3/3 runs
