site,niche,month,snapshot_date,average_price_eur,median_price_eur,cheapest_price_eur,providers_tracked,basis,n_missing,n_under_review,measured_currency,fx_usd_per_eur,fx_date
KiesHosting,hosting,2026-06,2026-06-16,7.5,4,0.45,13,curated,,,EUR,1.1594,2026-06-16
KiesHosting,hosting,2026-07,2026-07-17,7.28,2.75,0.87,10,measured,2,1,USD,1.1435,2026-07-17
KiesHosting,hosting,2026-08,2026-08-21,8.64,3.21,0.85,8,measured,3,2,USD,1.1699,2026-08-21
KiesHosting,hosting,2026-09,2026-09-01,8.02,2.99,0.86,9,measured,2,2,USD,1.159,2026-09-01
