site,niche,month,snapshot_date,average_price_usd,median_price_usd,cheapest_price_usd,providers_tracked,basis,n_missing,n_under_review,measured_currency,fx_usd_per_eur,fx_date
WebsiteShortlist,website-builders,2026-06,2026-06-16,13.13,12.4,1.58,18,curated,,,USD,1.1594,2026-06-16
WebsiteShortlist,website-builders,2026-08,2026-08-01,14.51,13.78,1.15,13,measured,2,3,USD,1.1485,2026-07-31
WebsiteShortlist,website-builders,2026-09,2026-09-07,13.02,10.8,0.75,15,measured,3,0,USD,1.1622,2026-09-04
