month,provider,entry_price_usd_per_month
2026-07,Carrd,1.58
2026-07,Hostinger Website Builder,2.99
2026-07,WordPress.com,4
2026-07,Shopify,5
2026-07,Strikingly,8
2026-07,Jimdo,9
2026-07,IONOS Website Builder,9
2026-07,10Web,10
2026-07,GoDaddy Website Builder,11.99
2026-07,SITE123,12.8
2026-07,Webflow,14
2026-07,Framer,15
2026-07,Squarespace,16
2026-07,Wix,17
2026-07,Ecwid by Lightspeed,21
2026-07,Duda,25
2026-07,Lovable,25
2026-07,Square Online,29
