month,provider,entry_price_eur_per_month
2026-07,Brevo,9
2026-07,MailerLite,10
2026-07,Laposta,11
2026-07,AWeber,12.5
2026-07,Mailchimp,13
2026-07,ActiveCampaign,15
2026-07,GetResponse,16
2026-07,Omnisend,16
2026-07,Klaviyo,20
2026-07,Kit (ConvertKit),33
2026-08,Brevo,9
2026-08,MailerLite,10
2026-08,AWeber,12.5
2026-08,Mailchimp,13
2026-08,ActiveCampaign,15
2026-08,GetResponse,16
2026-08,Omnisend,16
2026-08,Laposta,17.5
2026-08,Klaviyo,20
2026-08,Kit (ConvertKit),33
