site,niche,month,snapshot_date,average_price_usd,median_price_usd,cheapest_price_usd,providers_tracked,basis,n_missing,n_under_review,measured_currency,fx_usd_per_eur,fx_date
CourseShortlist,learning-platforms,2026-06,2026-06-16,38.22,19,7.99,11,curated,,,USD,1.1594,2026-06-16
CourseShortlist,learning-platforms,2026-08,2026-08-22,21.25,17.54,13.99,7,measured,2,2,USD,1.1699,2026-08-21
