site,niche,month,snapshot_date,average_price_eur,median_price_eur,cheapest_price_eur,providers_tracked,basis,n_missing,n_under_review,measured_currency,fx_usd_per_eur,fx_date
KiesVPN,vpn,2026-06,2026-06-16,3.51,2.99,1.99,15,curated,,,EUR,1.1594,2026-06-16
KiesVPN,vpn,2026-07,2026-07-17,3.38,2.96,1.92,10,measured,2,3,USD,1.1435,2026-07-17
KiesVPN,vpn,2026-08,2026-08-01,3.49,3.2,1.91,10,measured,2,3,USD,1.1485,2026-07-31
KiesVPN,vpn,2026-09,2026-09-07,4.2,3.43,1.85,10,measured,2,3,USD,1.1622,2026-09-04
