month,provider,entry_price_usd_per_month
2026-07,Brevo,9
2026-07,Ghost,9
2026-07,MailerLite,10
2026-07,AWeber,12.5
2026-07,Mailchimp,13
2026-07,ActiveCampaign,15
2026-07,Omnisend,16
2026-07,GetResponse,19
2026-07,Klaviyo,20
2026-07,Kit (ConvertKit),29
2026-07,beehiiv,39
