site,niche,month,snapshot_date,average_price_eur,median_price_eur,cheapest_price_eur,providers_tracked,basis,n_missing,n_under_review,measured_currency,fx_usd_per_eur,fx_date
Wachtwoordkiezer,wachtwoordmanagers,2026-06,2026-06-16,2.67,1.99,1.49,9,curated,,,EUR,1.1594,2026-06-16
Wachtwoordkiezer,wachtwoordmanagers,2026-08,2026-08-01,6.16,3.47,2.17,6,measured,1,2,USD,1.1485,2026-07-31
Wachtwoordkiezer,wachtwoordmanagers,2026-09,2026-09-07,3.6,2.78,1.42,8,measured,1,0,USD,1.1622,2026-09-04
