site,niche,month,snapshot_date,average_price_usd,median_price_usd,cheapest_price_usd,providers_tracked,basis,n_missing,n_under_review,measured_currency,fx_usd_per_eur,fx_date
HostingShortlist,hosting,2026-06,2026-06-16,7.19,2.99,1,13,curated,,,USD,1.1594,2026-06-16
HostingShortlist,hosting,2026-07,2026-07-17,8.32,3.15,1,10,measured,2,1,USD,1.1435,2026-07-17
HostingShortlist,hosting,2026-08,2026-08-21,10.11,3.75,1,8,measured,3,2,USD,1.1699,2026-08-21
HostingShortlist,hosting,2026-09,2026-09-01,9.3,3.47,1,9,measured,2,2,USD,1.159,2026-09-01
