niche,provider_slug,plan_id,run_id,source_url,fetched_at,http_status,extraction_method,selector_or_path,raw_value,raw_currency,raw_period,page_hash,archive_url,scraper_version,fx_rate,fx_date,normalized_usd_per_month,alt_usd_per_month,alt_method,renewal_usd_per_month,incl_vat,status,flags,reason
hosting,ionos,ionos-plus,2026-08_r1,https://www.ionos.com/hosting/web-hosting,2026-08-21T19:48:04.130Z,200,json_ld,offers.price,USD 1 (JSON-LD),USD,month,0772a6d2e70cab27,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,1,1,css_selector,14,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 1 -> 1 per maand; vergeleken in USD: 1 -> 1 per maand
hosting,namecheap,namecheap-stellar,2026-08_r1,https://www.namecheap.com/hosting/shared/,2026-08-21T19:53:06.306Z,403,manual,,,,unknown,8ee310d1f50a156f,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 27491 bytes)"
hosting,dreamhost,dreamhost-launch,2026-08_r1,https://www.dreamhost.com/hosting/,2026-08-21T19:48:50.993Z,200,css_selector,text-proximity,€2.89 | sites. On Sale First year at €2.89 /mo SAVE 75% Sign Up Now Auto-renews at €10.99 /mo after 1 year. 25 Websites 40k Mon,EUR,month,d5ee4386ef230b7e,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,3.38,,,12.86,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 2.89 -> 2.89 per maand; de dollarwaarde ging wel 3.3 -> 3.38 en dat is wisselkoers, geen prijs; vergeleken in EUR: 2.89 -> 2.89 per maand; de dollarwaarde ging wel 3.3 -> 3.38 en dat is wisselkoers, geen prijs"
hosting,bluehost,bluehost-starter,2026-08_r1,https://www.bluehost.com/pricing,2026-08-21T19:48:54.878Z,403,css_selector+render,text-proximity,$ 3.99 | for a simple website or blog $ 3.99 /mo 1 VAT not included 1 GST not included Save 60 % For 36 month term Renews at $ 9,USD,month,39e1124bd90476f8,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,3.99,,,9.99,true,observed_new,,mediaan van 3/3 runs
hosting,hostinger,hostinger-premium,2026-08_r1,https://www.hostinger.com/web-hosting,2026-08-21T19:49:30.512Z,200,json_ld,offers.price,USD 2.99 (JSON-LD),USD,month,30dd93fd00d0c632,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,2.99,2.99,css_selector,10.99,true,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 2.99 -> 2.99 per maand; vergeleken in USD: 2.99 -> 2.99 per maand
hosting,siteground,siteground-startup,2026-08_r1,https://www.siteground.com/web-hosting.htm,2026-08-21T19:49:34.006Z,200,json_ld,offers.price,EUR 2.99 (JSON-LD),EUR,month,112790cac17e1bf9,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,3.5,,,,unknown,observed_unchanged,,"mediaan van 3/3 runs; vergeleken in EUR: 2.99 -> 2.99 per maand; de dollarwaarde ging wel 3.42 -> 3.5 en dat is wisselkoers, geen prijs; vergeleken in EUR: 2.99 -> 2.99 per maand; de dollarwaarde ging wel 3.42 -> 3.5 en dat is wisselkoers, geen prijs"
hosting,a2-hosting,hosting-com-startup,2026-08_r1,https://hosting.com/web-hosting/,2026-08-21T19:54:25.701Z,200,manual,,,,unknown,f47e863683810a33,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (ook na render, 862873 bytes)"
hosting,digitalocean,digitalocean-basic-droplet,2026-08_r1,https://www.digitalocean.com/pricing/droplets,2026-08-21T19:50:15.572Z,200,css_selector,text-proximity,"$ 4.00 | vCPU 500 GiB 10 GiB $0.00595 $ 4.00 1 GiB 1 vCPU 1,000 GiB 25 GiB $0.00893 $ 6.00 2 GiB 1 vCPU 2,000 GiB 50 GiB $0.0178",USD,month,3adeca4bf5be5dff,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,4,,,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 4 -> 4 per maand; vergeleken in USD: 4 -> 4 per maand
hosting,hetzner,hetzner-level1,2026-08_r1,https://www.hetzner.com/webhosting/,2026-08-21T19:50:19.635Z,200,css_selector,text-proximity,"€1.09 | ge space, you will be charged €1.09 (including 19% VAT) per GB per month. If your storage space requirements have increa",EUR,month,e11ab9fb641f6d00,,prijsmeter-1.0.0/v1-2026-07,1.1699,2026-08-21,1.28,,,,true,under_review,naheffing_per_eenheid,gevlagd: naheffing_per_eenheid
hosting,godaddy,godaddy-economy,2026-08_r1,https://www.godaddy.com/hosting/web-hosting,2026-08-21T19:55:07.226Z,403,manual,,,,unknown,68b8758d181ac774,,prijsmeter-1.0.0/v1-2026-07,,,,,,,unknown,missing,,"geen prijs gevonden (statisch, mogelijk JS, 396 bytes)"
hosting,cloudways,cloudways-dobasic,2026-08_r1,https://www.cloudways.com/en/pricing.php,2026-08-21T19:50:30.257Z,200,json_ld,offers.price,USD 14 (JSON-LD),USD,month,9a699f802e7a3fa9,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,14,11,css_selector,,true,under_review,extractor_disagreement,gevlagd: extractor_disagreement
hosting,wp-engine,wpengine-startup,2026-08_r1,https://wpengine.com/plans/,2026-08-21T19:50:33.787Z,200,json_ld,offers.price,USD 27 (JSON-LD),USD,month,caac3c11d90b6d4a,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,27,27,css_selector,,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 27 -> 27 per maand; vergeleken in USD: 27 -> 27 per maand
hosting,kinsta,kinsta-starter,2026-08_r1,https://kinsta.com/pricing/,2026-08-21T19:50:37.818Z,200,css_selector,text-proximity,"$35 | rforming site. Single 20GB $0 $35 USD for the first month *Pay $0 today, $35 after the first month $0 $30 USD for the fi",USD,month,172bcef24d14c8f4,,prijsmeter-1.0.0/v1-2026-07,1,2026-08-21,35,,,59,unknown,observed_unchanged,,mediaan van 3/3 runs; vergeleken in USD: 35 -> 35 per maand; vergeleken in USD: 35 -> 35 per maand
