provider,reference_plan_usd,price_per_gb_usd
Instabridge,15,3
Nomad,17,3.4
Roamless,17.95,3.59
Ubigi,19,3.8
Yesim,19,3.8
Airalo,19.5,3.9
Saily,19.49,3.9
aloSIM,19.5,3.9
Flexiroam,24,4.8
BNESIM,25,5
GigSky,29,5.8
