site,niche,month,snapshot_date,average_price_eur,median_price_eur,cheapest_price_eur,providers_tracked,basis,n_missing,n_under_review,measured_currency,fx_usd_per_eur,fx_date
Leerplatformkiezer,leerplatformen,2026-06,2026-06-16,20.13,13.99,7.99,11,curated,,,EUR,1.1594,2026-06-16
Leerplatformkiezer,leerplatformen,2026-08,2026-08-22,18.16,14.99,11.96,7,measured,2,2,USD,1.1699,2026-08-21
